T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
9,7,18,86,84,81,25,13,74,76
67,68,29,65,22,73,25,31,68,74
22,25,76,81,27,67,30,30,63,70
16,31,26,30,29,68,32,23,66,71
78,29,71,76,74,71,28,29,72,71
25,26,27,68,70,66,29,27,66,73
21,25,66,73,69,33,35,28,67,69
29,25,32,66,74,33,32,35,67,69
30,27,64,73,69,31,31,33,67,69
30,28,69,70,69,69,34,75,65,68
27,30,27,72,31,69,30,20,72,74
5,88,74,99,72,87,93,3,100,100
0,88,99,100,100,100,93,15,92,100
0,0,2,98,0,97,100,0,90,91
0,54,55,100,0,68,94,2,100,100
0,100,0,97,0,61,100,0,69,100
0,59,61,55,20,57,58,34,52,100
0,53,54,51,5,55,55,38,52,97
0,100,41,51,46,44,44,0,53,100
0,,0,45,40,41,38,40,47,100
0,98,0,89,0,100,100,0,83,100
0,54,53,100,0,54,57,27,72,100
36,52,40,39,44,43,45,45,0,27
6,55,52,49,50,47,47,50,49,64
0,51,44,52,51,51,51,52,29,47
0,79,39,53,0,0,68,0,78,100
43,53,54,52,47,,51,47,53,52
0,42,44,61,43,43,46,46,52,100
0,57,100,12,70,31,35,51,20,31
27,33,64,42,45,49,46,53,46,48
0,55,58,59,42,55,69,17,70,100
0,55,51,92,0,51,100,0,80,100
59,57,58,43,55,47,57,52,48,52
45,42,38,42,44,45,44,47,77,81
18,78,97,47,46,57,39,58,30,44
28,92,67,80,61,64,81,35,100,100
0,0,100,54,27,58,57,11,57,100
0,100,100,38,71,53,100,55,56,81
0,74,0,100,23,40,70,41,100,100
0,100,62,87,17,62,74,25,100,100
10,3,4,17,5,3,3,4,65,60
53,55,21,63,18,44,21,27,70,60
40,9,61,79,12,31,12,18,74,66
67,18,30,39,10,10,12,23,66,62
13,76,31,65,8,31,58,25,62,65
8,56,26,56,4,52,18,20,60,69
54,52,16,56,13,17,8,14,61,67
20,67,34,56,5,34,13,31,64,67
11,53,8,64,5,20,55,9,60,68
19,71,71,68,11,16,6,4,67,73
7,57,6,67,4,28,39,9,71,74
12,13,1,44,4,5,42,1,61,63
76,63,4,44,3,27,8,17,65,74
39,62,22,61,12,45,56,16,69,72
44,23,80,60,11,7,17,11,45,68
31,71,42,71,32,75,34,19,59,65
10,6,18,64,9,47,13,6,62,70
6,66,73,66,10,69,18,8,58,67
52,65,71,63,11,33,39,26,58,74
63,58,58,60,17,41,20,32,60,66
9,61,67,72,14,39,20,20,67,76
